name,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle,center_f
13.0,199.99999999999997,80.40861145372008,64.21809627878535,15.054983302864626,1.6667694614129627,1.9253075248386706,-17.176392047923184,1.9253075248386706,694.3598331472731
14.0,639.3736648480736,80.36562603765157,64.30472375295646,10.70985983439411,2.2345056069471507,33.851573770796385,-5.420068408229167,33.851573770796385,513.7245733921847
15.0,98.88008367644726,140.39213464157928,64.2161954844369,12.223614879210924,3.8770788943171466,2.05148709100036,-12.191679967613087,2.05148709100036,655.8174272406454
15.5,518.8378502997471,176.32400452120322,64.33910545557134,9.303523651056132,2.559626143984297,2.371975435391923,-6.160265023210992,2.371975435391923,481.50414441976267
16.0,480.06146004187974,80.2960670001192,64.21448559761107,1.7571373415247813,5.887478873094531,0.702799323566225,-7.505538091846359,-0.8679970032286716,497.0389971899817
18.0,2639.8236359762172,80.45374743783573,64.368518595607,15.432240175177155,3.123385370688785,2.131749758615364,-10.119443117679465,2.131749758615364,622.4462601019183
19.0,1236.9947078167013,80.36162492011576,64.33906847993998,-10.732181493886308,-2.276344347561573,2.4189120768475427,-5.6064713348808,2.4189120768475427,534.2724999036567
21.0,306.43178811009983,80.27662968017214,64.36600274053147,-3.6736154432941706,9.736065966571662,0.6745396778921326,-7.950565780887137,-0.8962566489027639,703.912708008321
23.0,4238.1019384419,80.4745329207357,64.38637936367886,15.44412578550083,1.971509983998511,2.124762356166942,-10.278179226371648,2.124762356166942,552.5404645653502
24.0,131.90935871524525,80.2897133689968,64.17434520386809,8.23286723727841,2.7751581894898174,2.4300623486942112,-5.48167578376551,2.4300623486942112,493.2271127085358
26.0,336.7144629658911,80.24485311883005,64.19187320486616,8.297794536335907,1.166471210796185,2.1379668902793814,-9.981145428179024,2.1379668902793814,619.2547695619241
29.0,138.38104444619347,80.41346794156607,64.29542136116977,12.327859420261372,2.8065852070832498,2.4489253154191135,-5.275918861326388,2.4489253154191135,351.0183637861171
31.0,199.99999999999997,58.23774600037422,64.08137637087523,10.513945844698346,1.3293880157550564,1.9509379028983957,-15.911402522434098,1.9509379028983957,624.6950399552525
32.0,159.592486639754,22.381214878537225,64.28381574071186,2.5143631205883747,-10.824431929390213,6.751599170158455,-12.565571974063067,5.1808028433635585,624.2123344398362
33.0,794.7833923387034,80.26739473007893,64.15921194932925,-6.477816216822825,2.2528153049162145,1.9885847118261772,-14.321934438728906,1.9885847118261772,563.6868142338421
36.0,3087.8859144498874,80.46141618216235,64.18427249252437,14.536150469999058,-1.596613701767991,1.8548081358162718,-21.780628943388706,1.8548081358162718,712.5197214599802
