name,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle,center_f
13.0,199.99999999999997,80.35367038676735,64.01449477554536,13.67498587790746,1.680639732330472,1.627252569380055,-112.49548791657585,1.627252569380055,694.359833147273
14.0,677.1892271590863,80.3774598397901,64.30920037837605,6.798264046822809,3.0400128657382934,1.7356679975689258,-38.212244090902146,1.7356679975689258,513.7245733921847
15.0,95.80966840121029,140.3995130121264,64.41776365891555,11.42784701988154,6.342277192698886,1.9562190205343561,-15.670707635892985,1.9562190205343561,648.8467466615668
15.5,529.6290120245142,216.40029202337783,64.4358056847717,3.2387428302717596,7.247083143708407,3.084024497236149,110.31799779991931,1.5132281704412525,427.34131874624325
16.0,554.0220524423333,80.14557720329418,64.19239034872895,2.0348656704771053,3.5777374308791767,5e-324,-1.0383122350816962e+17,-1.5707963267948966,497.0389971899818
18.0,2727.467765007315,80.47271671548326,64.3621515177488,13.675602930321018,-3.305154841675126,1.7200000922900893,-42.29504369567026,1.7200000922900893,622.4462601019183
19.0,1257.0659575032023,80.40011937947892,64.34187097894265,7.211214954507877,-3.0842715963529703,1.7747737013797737,-30.735796042189126,1.7747737013797737,534.2724999036567
21.0,335.3391059122361,80.29853886501247,64.33819472121914,7.732219042561417,-3.8721917035147446,2.0828900683109097,-11.310633094718426,2.0828900683109097,703.912708008321
23.0,4088.8641174508693,80.48411784867733,64.84965804574678,12.81222974625549,2.2010258986619093,1.4833030676331584,72.48098130626268,1.4833030676331584,552.5404645653502
24.0,180.07110633870016,80.16933885694688,64.30975820870049,5.148041848608112,2.977477497601299,20.191639941978792,27.311964310457167,20.191639941978792,565.1902031338201
26.0,3004.3539502230115,80.02358364449199,63.97737712331082,0.5665586501733082,0.36807103065255364,2.4244117371302973,-5.544614984088108,2.4244117371302973,619.2547695619239
29.0,138.77695709130282,80.34700199172194,64.37738751065328,4.525786963625989,6.941375755212857,3.110700115536472,205.739201725605,1.5399037887415754,468.2222727219771
31.0,199.99999999999997,58.241925724581925,64.55549189270329,11.020202027570294,1.291629380222598,1.5026457918175522,93.14648462000618,1.5026457918175522,624.6950399552525
32.0,-377.99778368457805,244.25423277010742,-32.19911323869404,-19.786157031671564,222.60539462844326,5.404910038626383,5.2743485985033285,3.8341137118314865,624.212334439836
33.0,841.376318620453,80.26602935317217,64.32976536420556,5.685926902070763,2.241240620310139,1.3968705498885636,36.18549675991103,1.3968705498885636,563.6868142338423
36.0,3131.984602572702,80.43168528705351,64.32275150700234,13.189422969720349,1.4948195451579214,1.57213963993241,-4732.943328163586,1.57213963993241,712.5197214599802
