name,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
13.0,8.162111230402187,0.14836638906422664,0.5950431123846315,0.6093762232037974,0.06891797228573744,0.006611885912103897,0.8926896600309263,0.7432942807676867
14.0,12.832852947278706,0.1057666237587866,0.1418342845980352,0.05173509195389266,0.16919522441815693,0.009380268188961649,0.18186004846115664,0.4525912769152277
15.0,0.6730259098464315,0.05316653756797765,0.07716979338669229,0.08493143134333879,0.039604413868260226,0.005911754242773633,0.16863084273187948,2.7553838955911423
15.5,5.769830139049968,0.05232522810236888,0.0800401607428265,0.03324771558389024,0.08966016930348644,0.006650246737927198,0.17957386052655266,2.190108982927801
16.0,13.110688437447232,0.06833678870231626,0.13005057613645857,0.059108223407617844,0.13449641974908458,0.021424960409731342,1.6904056866638566,0.6141395099686927
18.0,35.544413347352936,0.07922597152832134,0.17704582166020164,0.18934373810930671,0.042082368878415814,0.004332670755436606,0.2083563269108396,0.09475871084185394
19.0,24.11683824751662,0.10196840249160197,0.1386769277733804,0.16413528425460772,0.05185030430915765,0.009500987749408068,0.19006606126654893,0.4362306574472872
21.0,7.098947294146288,0.13100309796834544,0.1726638709872484,0.198969414595692,0.0859406561453312,0.01691587869670254,0.35434421917361975,0.5149098007456903
23.0,55.082906458205684,0.05020894385178171,0.17378877309571408,0.17896129777792008,0.026388083886395176,0.002728895149926876,0.2979198523114311,0.045614466358315287
24.0,7.63386057374718,0.13013595744723438,0.20399386954878004,0.11052818368342204,0.2152495923720274,0.040604782155451886,1.8663937365704486,0.7654061373833245
26.0,11.626169114359165,0.06516168101782878,0.1794997329948527,0.02833046232357235,0.18884803985244242,0.006138818184467544,0.39513167325684057,0.6155520265148441
29.0,4.509081868516272,0.18670825677693775,0.23924644854206256,0.2835945754477565,0.10804143048924461,0.019647841461409517,0.3703991081987586,0.668394234492284
31.0,8.533063784473198,0.09744847428948436,0.545474210571622,0.5515036880243177,0.053684259515591255,0.005929570891889322,1.717182792218057,0.7767455967141988
32.0,4.145103307807792,0.1364333101276995,0.31098063778268686,0.07794393075762877,0.3305269963246515,0.009427797945933626,0.493129372846375,0.526596206583234
33.0,21.93514646038362,0.061895503420746026,0.1497167943966172,0.1510649852023908,0.05852812931433576,0.016887230926920165,5.134195428447851,0.5678394901228841
36.0,43.079577579014064,0.03290373390976531,0.18553792002333133,0.18737192222899238,0.019968539260178532,0.0020372866275729417,0.6573027025213886,0.09209406324294755
