name,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
13,8.58940109006858,0.075342173697817,0.551793343343421,0.551793568522538,0.075340512636293,0.008450308673834,64141.4169116628,0.746464292900128
14,12.7957181684887,0.10048391427057,0.142477300836548,0.165958581156206,0.053427960549876,0.010010192716657,0.216968256702897,0.4517694840773
15,0.72209602024352,0.043711724184564,0.080184465532534,0.08273438122677,0.038668921301987,0.006243947423579,0.511210412532778,2.77686974391631
15.5,5.39085633705383,0.053371349421655,0.080096012386343,0.036451183378128,0.089079645929419,0.007397122494748,0.204433847955824,2.19524343596918
16,12.525893453367,0.071803225797234,0.130003133418321,0.065737953337644,0.133172968978346,0.025748706799567,2.6322386603083,0.615841252867106
18,35.1846020311307,0.059439839866367,0.174654833380142,0.179080891870813,0.044355834740573,0.004896702053018,0.598543367793585,0.096476754930234
19,24.5045238170847,0.095056207999216,0.136993129031387,0.158289052302871,0.052415420021019,0.010060044441648,0.226874089483376,0.436384387603485
21,7.04215660907374,0.111075906981599,0.17437959464069,0.183444197587207,0.095364180083331,0.022770774423062,1.09573991224478,0.51726115524472
23,53.9224260154695,0.03846055681444,0.171113076158861,0.17327826776506,0.027083966167603,0.002906658652813,0.725948618385272,0.048750414720968
24,6.67249364877779,0.136520763632709,0.277679784063051,0.121830972868086,0.284431354707618,0.035231746964515,3.89891817321076,0.763842047317918
26,10.5398797470142,0.052683701901518,0.197528253318431,0.201913131448234,0.032001095779383,0.00654127138306,0.943715458731452,0.611068990112727
29,4.34326796084366,0.175347089402672,0.246881033693186,0.281006542048786,0.112836917811507,0.020859436319834,0.487598115548748,0.668598076165839
31,9.28792112940822,0.058415022859858,0.517133719777593,0.517361177252556,0.056364031416772,0.007241111054361,51.7456305070541,0.78791928116901
32,3.16911239761987,0.078558576905138,0.284959091639172,0.286402362543724,0.073121947550475,0.009424047572838,5.57142134307442,0.574864820439128
33,21.8593875786904,0.060107988261088,0.150940489614328,0.150955621131468,0.060069973565778,0.017654405204237,472.181566171041,0.568612252479973
36,41.8903140043961,0.023570274504359,0.179329624560818,0.179713999040762,0.020434111716715,0.002186812936085,3.21158138407463,0.097605285220777
