,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle
13.0,199.99999999999997,80.41664818272982,64.167124574343,16.94257575484001,1.632941960096758,1.9082894912257395,-18.117660743601082,1.9082894912257395
14.0,637.0540860113013,80.3713467369049,64.3379444534586,9.092716096265864,2.5902006940651985,2.2417024914758956,-8.010063149636643,2.2417024914758956
15.0,171.5659590220748,140.33402108319552,64.13723533722634,19.03259752652375,6.354084953589407,1.9951626879812205,-14.071598369968783,1.9951626879812205
15.5,521.3407187643242,176.37915428953707,64.23759464625134,3.0107715541856304,8.530744934204172,3.7100747213170537,-9.952315985662501,2.139278394522157
16.0,489.4882510491477,80.24818303063836,63.9966872133379,2.007673898209337,4.680089398859654,0.3948691376182503,-15.255436564150687,-1.1759271891766463
18.0,2709.2674275594686,80.46102674943724,64.33257955215996,15.002529026103097,3.1472487685405954,2.0192391829483354,-13.21420255431509,2.0192391829483354
19.0,1273.7804453766885,80.36649848365495,64.32564898799427,8.77803530533057,2.626561959560439,2.2156378848949303,-8.453474068786699,2.2156378848949303
21.0,312.47347064501355,80.28531354989765,64.28223679945877,3.6402628307236777,9.575833440840803,0.6563250385668709,-8.254421646500163,-0.9144712882280257
23.0,4315.087338940009,80.48136081662136,64.20477463708559,14.158098120312074,-2.06015596018664,1.8673525558783737,-20.806663836013136,1.8673525558783737
24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.082314910471157,-2.5707963267948966
26.0,369.56835849577743,80.25707055788402,63.98889166231045,1.061592994806436,7.8683890723937795,0.35520570987606853,-17.139816980057105,-1.215590616918828
29.0,145.6329158493695,80.31484386962266,64.31109227351634,9.263453191119707,3.375264652455479,2.2165211143707397,-8.437949482255679,2.2165211143707397
31.0,199.99999999999997,58.253612140591336,63.968504632256284,13.42735166452023,1.2768167776214399,1.7977810247365498,-27.527240710895033,1.7977810247365498
32.0,158.96749143474074,22.364488648811385,64.4298843031125,-10.901288983995038,2.4706878124249347,11.348297660173964,-17.27117884145846,11.348297660173964
33.0,812.8484709739259,80.28744630833388,64.22331532994235,2.2323105560120577,-5.857913644277072,0.24804985675797706,-25.103398361260346,-1.3227464700369196
36.0,3033.286405783398,80.45892057819398,64.1695890998226,14.408730717116322,-1.6210976651498228,1.839539354401803,-23.08534910214842,1.839539354401803
