name,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle,time_res,center_f
13,200,80.3489114778229,64.2829562152753,18.1212912950676,1.3180139878748,2.4622399246096,-5.13452779137441,2.4622399246096,0.00098304,600
14,622.763206007027,80.365059057164,64.2925857429064,10.159680752786,-2.38144071764354,2.36920832774461,-6.19446602807863,2.36920832774461,0.00098304,600
15,104.394971915545,140.377888957839,64.3954712396903,17.0132617375479,3.93309116260933,2.51345318203208,-4.61749385538632,2.51345318203208,0.00098304,600
15.5,541.994278437687,176.313934109489,64.210648775354,7.69586412842509,2.19940244848589,2.160169716233,-9.50847679562919,2.160169716233,0.00098304,600
16,480.879539176542,80.2571774933258,64.1377473048625,1.78523450139708,5.58013372092807,0.582899342793032,-9.64300590500349,-0.987896984001864,0.00098304,600
18,2896.34998256602,80.4427496654899,64.4348637625925,17.8963213387411,-2.43904488702262,2.33710068725433,-6.6053757321009,2.33710068725433,0.00098304,600
19,1265.19297601986,80.3528739721366,64.3366959599884,10.1956512806431,2.29849542663828,2.37075718312693,-6.1752997702315,2.37075718312693,0.00098304,600
21,389.257829128646,80.2346856574147,64.3243692998953,11.0676381703121,2.04171767814986,-0.523404507907316,-3.66904751235548,-0.523404507907316,0.00098304,600
23,4279.21886414224,80.4691392764037,64.385716205757,15.4331621139372,1.94641280559038,2.14051381922248,-9.92526698564117,2.14051381922248,0.00098304,600
24,140.696536410031,80.2288893052566,64.1458810499421,6.71673126497462,2.89410072836298,2.31925220627466,-6.8458238754761,2.31925220627466,0.00098304,600
26,324.706143135273,80.2767230982209,64.1986425886444,9.33499181567161,1.1111811950847,2.21715451851161,-8.42683848547488,2.21715451851161,0.00098304,600
29,176.636629147563,80.2970042049944,64.2127164099148,8.98677467075759,2.72504866318523,2.39282027201094,-5.90836870946498,2.39282027201094,0.00098304,600
31,200,58.2281439726818,64.2113966549267,11.2557610487667,1.38660070447527,2.16987025865843,-9.31170494564426,2.16987025865843,0.00098304,600
32,149.683553500366,22.2177838359905,64.201357853097,-1.8597367644049,7.60973854303041,-2.45938105135254,-7.82669829696134,-4.03017737814744,0.00098304,600
33,793.344432205197,80.2692589988892,64.2138420761577,7.07197364987731,-2.05110433333951,2.18152091788522,-9.08263908722742,2.18152091788522,0.00098304,600
36,2312.19459051879,80.3956937644307,64.4372228994897,19.0101173194713,1.54609986092505,2.43205096980131,-5.4596714245023,2.43205096980131,0.00098304,600
