,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle
12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.901731647840517,-2.141592653589793
13,56.68832922759574,64.11433168068868,80.41117028286989,-15.175090192783538,-20.498363138641384,1.5880042644398098,369.43423141885364,-4.729596918029603
14,652.5957719310928,64.33946969036025,80.36237080183216,8.604385595850477,2.630997779327481,2.53184567977396,-9.101565865103352,-4.102642006568857
15,474.7122007112441,64.35473024977738,320.3687971041689,-7.040893800555169,23.828251804243756,3.8792041910991277,-5.7774814270863555,-7.02079684468892
16,4868.668113720995,63.91636434967322,79.93154909721657,-0.5627542090321814,0.3230342178156395,2.2453414970315277,-5.084222057431958,-3.8161378238264243
17,7864.526622267087,40.780951755265086,97.47908069447891,,,2.0,13.892109319442238,-5.141592653589793
18,2712.615357009084,64.3352813743485,80.46098857499715,3.211472153061415,14.449416020360635,1.1986649375277512,-16.288875738553497,-4.3402575911175445
19,1259.7869600959298,64.29787342893133,80.37921974489588,-2.7081507240169,8.573127216322709,4.113518298232194,-9.315770295267749,-7.255110951821987
20,2300.242773258462,64.45055232942731,160.5027806765263,7.130561043984053,-14.802254420623038,6.386317457565579,-0.6580312021163535,-9.527910111155371
21,315.10612843572403,64.2650496863256,80.2947114853836,3.81538429278635,8.833964002774106,4.128933762137901,-9.631351512754335,-7.270526415727694
22,3.2184765726046303,805.802465275803,384.10771960449927,-311.84946670456753,52.08093411803055,0.3442297823721455,17.73437640936098,-1.9150261091670422
23,4302.70070121763,64.12970951108657,80.4812569607354,2.061262255248757,13.979090323250018,1.3270677443986219,-25.567106764153138,-4.468660397988415
24,91.28423632491871,76.1381939285745,305.42017771844144,-3.630260633875904,10.199030164548809,1.105290056764274,-12.656791067078103,-4.246882710354067
26,3220.3002337413463,63.94966808164911,80.02559102800227,1.322977156331213,0.14817849394238347,-0.3349019918507274,-18.26903321749321,-1.2358943349441691
27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.901731647840517,-2.141592653589793
28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.901731647840517,-2.141592653589793
29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.901731647840517,-2.141592653589793
30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.901731647840517,-2.141592653589793
31,489.4612312864171,64.13192193703424,80.2490068421607,-1.489194639366671,-8.966111219354442,1.3704984847640014,-31.316247405165782,-4.512091138353794
33,837.4932266439706,64.25682412714826,80.28252482073817,5.766526035403611,2.234116148711726,2.996476952880958,-43.50416284606195,-4.567273279675854
34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.901731647840517,-2.141592653589793
35,281.9775013224853,64.33383392944707,80.30059210523693,8.358590193503934,-3.07396323150759,1.7318010947301525,-1.0325785555072444,-3.302597421525049
36,3223.528172333564,63.805382052117835,80.44829562023226,-14.02041003255706,-1.4942792930021356,-0.14084362312174636,-44.842166140946034,-1.42995270367315
37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.901731647840517,-2.141592653589793
38,2674.352312145277,68.54093126962293,71.18323665447306,,103.70508546578927,2.0,13.892109319442238,-5.141592653589793
