,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
13.0,8.589401090068584,0.07534217369781708,0.5517933433434209,0.5517935685225376,0.0753405126362925,0.008450308673833798,64141.41691166279,0.7464642929001283
14.0,12.795718168488714,0.1004839142705704,0.14247730083654808,0.16595858115620604,0.053427960549875746,0.010010192716657209,0.21696825670289704,0.45176948407729955
15.0,0.7220960202435198,0.04371172418456416,0.08018446553253394,0.08273438122676999,0.03866892130198733,0.006243947423578819,0.5112104125327777,2.7768697439163113
15.5,5.390856337053829,0.05337134942165515,0.08009601238634305,0.036451183378127736,0.08907964592941928,0.007397122494748295,0.20443384795582373,2.195243435969181
16.0,12.525893453366983,0.07180322579723407,0.1300031334183209,0.06573795333764379,0.13317296897834574,0.025748706799566687,2.632238660308296,0.6158412528671063
18.0,35.18460203113068,0.059439839866366785,0.1746548333801424,0.17908089187081344,0.04435583474057295,0.004896702053018062,0.5985433677935847,0.09647675493023371
19.0,24.50452381708469,0.09505620799921617,0.1369931290313872,0.1582890523028715,0.05241542002101871,0.010060044441647513,0.22687408948337634,0.43638438760348475
21.0,7.04215660907374,0.11107590698159853,0.1743795946406899,0.18344419758720729,0.09536418008333115,0.022770774423062353,1.0957399122447824,0.51726115524472
23.0,53.92242601546951,0.03846055681443989,0.17111307615886054,0.17327826776505958,0.02708396616760263,0.0029066586528133484,0.7259486183852721,0.04875041472096762
24.0,6.67249364877779,0.13652076363270949,0.27767978406305105,0.12183097286808603,0.2844313547076185,0.03523174696451516,3.8989181732107556,0.7638420473179179
26.0,10.53987974701418,0.05268370190151754,0.1975282533184308,0.20191313144823445,0.03200109577938326,0.006541271383060426,0.9437154587314521,0.6110689901127272
29.0,4.343267960843659,0.17534708940267243,0.24688103369318584,0.2810065420487857,0.11283691781150722,0.020859436319834376,0.48759811554874766,0.6685980761658388
31.0,9.287921129408224,0.05841502285985837,0.5171337197775925,0.5173611772525561,0.05636403141677161,0.007241111054360618,51.74563050705408,0.7879192811690104
32.0,3.169112397619869,0.07855857690513834,0.2849590916391718,0.28640236254372436,0.07312194755047449,0.009424047572837622,5.571421343074416,0.5748648204391281
33.0,21.859387578690438,0.06010798826108778,0.15094048961432766,0.15095562113146815,0.06006997356577792,0.017654405204236792,472.1815661710407,0.568612252479973
36.0,41.890314004396046,0.02357027450435908,0.1793296245608181,0.17971399904076152,0.020434111716714998,0.0021868129360847724,3.2115813840746275,0.0976052852207766
