name,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
13.0,8.385853864436399,0.28462883644977055,0.5164860166335994,0.5853188497280851,0.07192471480662914,0.007398193139790242,0.20927200842052018,0.7435198047459185
14.0,12.078732876533403,0.22169759467248495,0.13960797286136611,0.0369203721906372,0.25937829662179196,0.003975364891541264,0.03486231684178311,0.4423228841712032
15.0,1.0695517808749522,0.06045063333611088,0.10232125274436515,0.11703467641559445,0.020659237497698376,0.0024570425020194807,0.06423025840505844,2.6822424823465467
15.5,4.383661860506387,0.1100987122184693,0.06852214945863469,0.12780692959069484,0.021963652631610625,0.002359891933270009,0.020434448188429637,2.5874336509701075
16.0,12.79569128039176,0.1639246890545434,0.12564175155258023,0.04266626340834631,0.20208104208870953,0.008732747113332483,0.08647348090685616,0.6094508247267478
18.0,33.9909252433595,0.1440528859522377,0.16980781685945828,0.21925183956714397,0.03891729443890265,0.0034057620278395077,0.052403790262437445,0.10478946787445
19.0,24.29849257748393,0.19149216232550315,0.12642201264854455,0.03630591756521705,0.22656929460220612,0.004448955687640243,0.04001878403625569,0.43548353515027605
21.0,6.942049532212263,0.17077391377002626,0.17069668199409768,0.0761973993924541,0.2291179660978317,0.011888507575093564,0.15107323608802273,0.5185465724733553
23.0,50.80354593433765,0.15330488150246666,0.1561974913344991,0.21754421690007472,0.023969760294006597,0.002018664674186608,0.02616967124819317,0.05308416741922921
24.0,5.1741129538176,0.46796537206527183,0.2675723785528632,0.5314438925423975,0.09029919620374473,0.010346253473418873,0.08557281772934963,0.7752279056029299
26.0,7.5066982221090095,0.19683373409867247,0.20814042587147438,0.2848487033682352,0.03044964148433979,0.004151619710421937,0.05598659670644313,0.6469424366603359
29.0,4.370487956502439,0.3800862704495863,0.22045462835136476,0.4333438378461465,0.07265624624132173,0.0076272524847301884,0.06358595404303401,0.6756926552561091
31.0,8.960806079730885,0.29929807037903683,0.45192849172407257,0.5393543019963293,0.05399688775219049,0.0064076900425481245,0.1353775597340576,0.7842550122013757
32.0,4.461149576798732,0.21594604936126022,0.2725962997306877,0.06552339109463338,0.3429334245470546,0.008105343917678762,0.13677922253170077,0.6067134591924046
33.0,19.27259483300092,0.12313094047145312,0.16802828437029577,0.05663612501324095,0.20046716233462183,0.011344951363722329,0.22313880509599146,0.5736361914012547
36.0,41.235514518678755,0.08236051318084561,0.18296199296701662,0.19955093150381836,0.020922888934324518,0.0019970431461681986,0.07880187122327882,0.08858125664018061
