name,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle,center_f
13.0,199.99999999999997,80.39152635032076,63.62625489156514,16.086266349948012,1.5437980215658853,1.6946957502538031,-51.051587683077614,1.6946957502538031,694.3598331472731
14.0,199.99999999999991,80.46685947834126,64.45158345354844,13.151412989092835,4.831578894396082,2.035684095425254,-12.676331460286837,2.035684095425254,513.7245733921848
15.0,98.21113955034161,140.4128912727201,64.25772326261803,11.744973216712506,5.555635374516465,2.003617659150352,-13.760336549500403,2.003617659150352,648.7392765395549
15.5,617.2808900054467,176.3278570460859,64.32479146710403,6.055491503034246,2.236380557121948,1.703359000422568,-47.679660874010196,1.703359000422568,494.0772980414049
16.0,484.62653584775006,80.26745828364776,64.15270638889831,2.1883557725216822,4.286956636358956,5.368593146693975e-59,-1.0383122350816962e+17,-1.5707963267948966,497.0389971899817
18.0,2706.8319778163227,80.46303009504058,64.37829448687405,14.067442830951956,-3.2948588995991206,1.8364271331810345,-23.369221126295255,1.8364271331810345,622.4462601019183
19.0,1281.0110109033965,80.39034920909636,64.36205284099292,7.754307694581759,-2.897141878271176,2.0024506747903406,-13.802617607658185,2.0024506747903406,534.2724999036567
21.0,317.7101760128076,80.29510766986714,64.36536805866123,8.15811695421604,3.943309376010749,2.1165086193859413,-10.470366986079148,2.1165086193859413,703.9127080083209
23.0,4161.321261279679,80.47825407994927,64.08253362621818,13.027834582298837,-2.1360164160291966,1.6528801519625385,-77.2812814481032,1.6528801519625385,552.5404645653502
24.0,178.45022191421322,80.17957864979772,64.03515137392701,5.122617440446448,3.050018629954701,11.070887546659012,-84.25878238507006,11.070887546659012,553.1514071611083
26.0,280.3207375741333,80.31200028518069,63.78025884403227,8.62702804237659,1.320661484231086,1.7512018326676257,-34.85871646806112,1.7512018326676257,619.2547695619241
29.0,135.0594740363355,80.34342581718093,64.28352401962138,8.329420406472506,4.1795502727614,1.971144509212403,-15.023093527991797,1.971144509212403,351.0183637861171
31.0,199.99999999999997,58.23885866393638,64.42590576118856,11.471917350790806,1.2737421643114701,1.5993370295810858,-222.7030787365863,1.5993370295810858,624.6950399552525
32.0,143.5758850853345,22.425823733595845,64.33570219972039,11.291856568144684,2.889120933751566,1.7109078100234605,-45.07960435840011,1.7109078100234605,624.2123344398361
33.0,854.0478645765858,80.26610576538161,64.27327532496453,-2.2316025192969122,5.608566399645069,-0.030563579183049406,207.95499539237147,-1.601359905977946,563.6868142338421
36.0,3173.041833683922,80.43263939208467,63.56594875318974,13.388856322417151,1.5010634524264292,1.6339086850315916,-100.60446596986007,1.6339086850315916,712.5197214599802
