name,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle,time_res,center_f
13,200,80.4079680663665,64.0053012236055,14.9318255005448,1.68872917174534,1.78954014777454,-28.6001169835474,1.78954014777454,0.00098304,600
14,652.599572911919,80.3623730175983,64.339454867728,8.60432731160761,-2.63098494486582,2.18054491938041,-9.10153448176703,2.18054491938041,0.00098304,600
15,95.938057910522,140.409693783924,64.352958304244,12.1067502419299,5.64550409123206,2.06248021811552,-11.8715199167045,2.06248021811552,0.00098304,600
15.5,527.529669178955,176.36509853,64.2438802936588,3.03980461258853,8.19753769097516,0.506631415875262,-11.4566937888086,-1.06416491091963,0.00098304,600
16,471.367870114615,80.2779346101151,64.0908804633343,2.12511472805202,4.83554244372612,0.287827373128824,-21.4756530472919,-1.28296895366607,0.00098304,600
18,2712.60035585211,80.460995298182,64.3352800667904,14.4495453801123,3.21147893274416,1.94293035183088,-16.2887489846749,1.94293035183088,0.00098304,600
19,1259.74644709381,80.3792813029461,64.2978298374473,8.57334893737995,-2.7082548722601,2.16971530249423,-9.31480412059403,2.16971530249423,0.00098304,600
21,315.111127668236,80.2947104847794,64.2650428699251,8.83377825240878,3.81534333734757,-0.987329379897119,-9.6311058232698,-0.987329379897119,0.00098304,600
23,4302.70150013487,80.4812571783649,64.1297116981651,13.9790719927371,2.06126419325155,1.81452489654877,-25.5671081443539,1.81452489654877,0.00098304,600
24,185.413128462878,80.1639417218768,64.0424815070787,2.68453635647628,5.22803628675255,3.52266166577279,-15.8686741184703,1.95186533897789,0.00098304,600
26,411.048974292209,80.2175140873591,63.9702485156176,1.00163754365494,6.67681621967128,3.46129774498306,-19.2043364935631,1.89050141818816,0.00098304,600
29,144.638958350831,80.3505159807965,64.204132981593,9.09693494576193,3.46567225615424,2.19042571517757,-8.91264015179834,2.19042571517757,0.00098304,600
31,200,58.2695676469549,63.9374211774984,12.9262760563911,1.25826457412951,1.71951305497826,-42.4356309778676,1.71951305497826,0.00098304,600
32,155.251758447181,22.4046763407628,64.3851739155131,2.91961288140601,12.3816791129616,-9.06865666681669,-17.0918083584993,-10.6394529936116,0.00098304,600
33,837.514924236802,80.2825135534993,64.2568129725764,-5.76639056388337,-2.23405303691463,1.71591484583397,-43.503305977501,1.71591484583397,0.00098304,600
36,3223.54330100303,80.448281504488,63.8054186876466,14.0204255172887,-1.49426361337607,1.71163909420594,-44.8424422226505,1.71163909420594,0.00098304,600
