,name,DM,drift,drift_error,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error
0,1.0,554.1030000000001,-655.3250135657813,0.07372284620202828,1816.4478118221286,512.4986413665081,512.4830315479459,176.65601693627957,46.4137024230721,1.7995632640282777,0.11310700704003367,0.0037597282582466827,0.010731222005469925,0.01102058299583189,0.002888771108715942,2.48472947449861e-05
1,2.0,554.1030000000001,-523.1929675733102,0.32542476571802237,81.45995546895438,512.492738769151,512.4809776202636,181.11128627292234,43.830036562764384,1.8545727183881537,0.037464081609239565,0.030296987178612674,0.08014880553139132,0.08348360073512123,0.020150133896268373,0.00016718366016036325
2,3.0,554.1030000000001,-1154.6976770491958,0.4368855845922916,184.799367731624,512.4955392878893,512.3914541680747,172.03403521580475,19.074737831167315,1.7021804130140852,0.057209616331956675,0.009105474387123353,0.05279518572495375,0.05334389024621016,0.005902936923665975,4.913973811863865e-05
3,4.0,554.1030000000001,33.2757616966235,0.4133015117496689,4.145417294453401,512.4128860998189,512.6466141436491,26.642470629073028,-166.01758727194928,3.356307072392211,0.04603409636122545,0.4872243720582688,1.8015535391311244,0.29564720857080284,1.8442081260505814,0.0025856467809350515
4,5.0,554.1030000000001,-978.7875541121365,14.448978228351812,5.516508458473567,512.4727938608358,512.3361380599948,169.12908767319493,36.94773256954799,1.7254463157840858,0.03822899788162724,0.31063622448182204,1.1582102862845614,1.1730829811646915,0.2558189650830742,0.0022467347601327963
5,6.0,554.1030000000001,-1498.4881668314285,0.678104525745745,155.93681099066407,512.4937519280493,512.2089172298113,159.11728699393743,12.177186916753474,1.6722744435045016,0.06532333103016959,0.008446860586549037,0.06631292289295593,0.066689190880547,0.005101046713855823,4.56068522424551e-05
6,7.0,554.1030000000001,-614.7400099705793,0.30589087004529153,269.8441024995545,512.4961008503251,512.4592081248187,104.61414665682541,38.153731802650164,8.097279897791536,0.052773184247284416,0.008759515759461973,0.019937021615950727,0.020458312346862094,0.007461327428159371,0.00011634246930063991
7,8.0,554.1030000000001,-284.88032546947187,0.047405971513479056,245.9112180023013,512.4942625542838,512.4885805200665,177.2191152088785,62.76153536665817,2.0625330321880995,0.029741660795835848,0.012131000816120173,0.019229629798305357,0.021443571998915983,0.007589907386198935,6.926069132063986e-05
8,11.0,554.1030000000001,-662.344342105259,2.8913913760865855,11.888522865752664,512.4940722049736,512.4013506094632,186.15324510539836,39.04413023222122,1.7972212932589466,0.03659115520447429,0.17387761701631224,0.5588047088233026,0.5752124170393371,0.12009787934540538,0.0009549944982811686
9,12.0,554.1030000000001,-645.3532089210902,0.44531893349027557,82.48724062619577,512.4986118585445,512.4658274151913,141.0080795105061,28.10727015268291,-1.338619318770913,0.04341778083807852,0.02233539460665001,0.07230445062061702,0.07421755263564914,0.014793660341910741,0.00015451538369656503
