,name,sigmax_error,sigmay_error,angle_error,drift_errors_raw,drifts_raw
0,M1,0.034756368011847,0.009381245676587,8.22942518845507E-05,0.595171147688976,-1039.35942236111
1,M2,0.159811208600456,0.040031326269976,0.000340189995563,1.27467597564353,-740.578566487435
2,M3,0.106295310314808,0.011973145618111,0.000100720985051,5.27867546083757,-2823.77045263663
3,M4,3.24332819917299,0.533214583658302,0.004865953411164,39.6632114680544,-1104.75640273922
4,M5,0.473012051722187,2.11544629297737,0.004227358364708,124.200706778327,-2111.81966525241
5,M6,0.169494483123655,0.013409869374449,0.000121450351481,29.1619250984821,-6051.04948993217
6,M7,0.050096057932134,0.018946965440462,0.000304612207697,2.12332726514888,-1019.97293528708
7,M8,0.048640117564238,0.018271146033567,0.000175344479545,0.159884870184642,-340.369797005867
8,M9,1.90451195423672,1.27891545932749,0.02468621952791,9.7134845925017,-191.720931428476
9,M10,1.63053751301996,0.584794647229403,0.007235081144975,34.115706412136,-834.396381774995
10,M11,1.03506001910591,0.222595190875826,0.001805818474384,12.8577686048435,-1031.10209792899
11,M12,0.144014128884355,0.029707502213,0.000316640559826,2.17669865241508,-1012.74863629527
12,M13,0.039538298859872,0.011271101292919,0.000122316464533,0.69046980787042,-915.460158541001
13,M14,0.073284154034947,0.005207660225141,4.60546936614652E-05,3.6055067417171,-3452.88880944183
14,M15,0.031126930317547,0.022535654406572,0.001018785229536,0.929839019651847,-340.562719508006
15,M16,0.037160598638673,0.013786447520327,0.000180496507468,1.54013920854064,-1130.80401191399
