name,trialDM,drift,drift_error,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error
1,554.103,-2357.08315531491,0.977089230096473,1815.60884974942,512.499759615683,512.491559694313,172.467727656774,47.4862472283926,1.63544201940498,0.115183739563241,0.003086801872323,0.010917787220606,0.01096133019169,0.003011122395216,2.67231885909334E-05
2,554.103,-1211.94908940157,1.75662876418643,81.4564114011315,512.495276473194,512.517846450115,175.342518184038,45.1755111756387,-1.44555243371518,0.037505065424278,0.022957383552994,0.080122677888177,0.080906712448025,0.020788133452878,0.000179639179893
3,554.103,6216.91261363562,12.7648847664414,183.857210399447,512.495947758819,512.611220975638,169.879513713971,19.2662335594051,-1.59533539805565,0.056999156828531,0.006107385861207,0.052641771288132,0.052745904282823,0.005970964192224,5.03646590895804E-05
4,554.103,-2481.64553996082,112.425431389231,4.10204094992226,512.41166425131,513.009183863038,161.721880369339,-27.7145354081098,1.63220559413908,0.045604669667043,0.326449571633681,1.79328544058892,1.79789885175397,0.307880169832094,0.00277502138495
5,554.103,21698.8462398979,7164.33945890552,5.52248493529244,512.466492481708,511.775680772698,37.3287073041974,166.338849399842,3.13456069558371,0.03838415702602,0.259391223593406,1.15568436363571,0.259272777554497,1.15711680642889,0.002321675212114
6,554.103,2893.46712847057,2.46238944689576,156.10713346278,512.494557730638,512.806861670022,158.227350743809,12.147868882223,1.51810981964894,0.063966885908076,0.006030193506946,0.064743640192159,0.064866379196257,0.004977494728046,4.47541798209341E-05
7,554.103,-2308.91038099067,4.33914957966845,269.724056164969,512.496832451203,512.499919860614,101.895248308762,39.102820404637,1.63678690537327,0.052405358018079,0.007692310904684,0.01976007350605,0.01979681025476,0.007597265849737,0.000123656775384
8,554.103,-427.325008899927,0.103696276708536,245.983620491109,512.494780585773,512.489475870024,167.098215451909,66.3960569922595,1.91376177246223,0.028330800911398,0.00968137771948,0.018304705792259,0.019254470321648,0.007646145260403,7.68508284182833E-05
11,554.103,-2275.64258590087,34.3954182381423,11.9259349270306,512.496978423771,512.731332841412,181.059551432548,39.9300635347385,1.6377487669938,0.036690391237757,0.128088387024807,0.555780660998377,0.559194849443968,0.122819363682007,0.001008937634053
12,554.103,-2061.77939448482,4.5747009052579,82.4631890502902,512.499241261278,512.501874343718,137.381323614307,28.7667992427515,7.92785482331913,0.043485423216063,0.016044024736567,0.072250011456704,0.072440693099561,0.0151685445516,0.00016331503677
13,554.103,-1948.30174055448,0.88550397671798,926.785317014559,512.499657590506,512.502671731936,140.315689632381,40.8614751980158,1.6489551924302,0.072862150631635,0.003316495635995,0.011000513195498,0.011031791793517,0.003212501255212,3.53787448364334E-05
14,554.103,4616.68238022546,2.93466878020172,327.26157555007,512.497657647838,512.830649209753,160.423397080407,11.4562679215412,-1.603835715757,0.06766149035577,0.002608293092437,0.033147576763262,0.033187613738943,0.002368360480431,2.09867410988134E-05
15,554.103,-496.886198702431,0.553041142036448,520.702262220861,512.485514054234,512.498074311043,64.2080192316189,48.7203472155378,1.86874330833048,0.064303593224443,0.006204845996507,0.007783416260881,0.007929698737111,0.006016773300478,0.000312338835188
16,554.103,-3065.60009040425,0.889410121700606,2590.68200328718,512.499841930076,512.496531682214,124.320885413424,46.8092202062515,1.62052951516187,0.060148181579942,0.001094866311474,0.002883208556356,0.002886276022297,0.001086766724788,1.44051078360233E-05
1,555.346777777778,-1844.00470991413,0.595231004343348,1815.61634691409,512.499694966004,512.490482596117,172.708485632931,47.4242797866954,1.65335633577444,0.114707601683169,0.00311720643739,0.010874810763206,0.010931582460747,0.002994779967804,2.65288225323104E-05
2,555.346777777778,-1061.02126910244,1.3457168364578,81.4770842838775,512.494397973273,512.475207868638,175.785684141615,45.0863423254108,-1.42796336063965,0.037508535730802,0.023543103399626,0.080136642048799,0.081101283810789,0.020745316278943,0.000178704352988
3,555.346777777778,21773.4418207501,156.437444134707,183.835169894689,512.496084706555,512.542793138639,169.633809489705,19.2735905058239,1.56378845941229,0.056867248787366,0.005971318524068,0.052464620825799,0.052552500800207,0.005960137598527,5.03483546041253E-05
4,555.346777777778,-1952.38448437387,70.0218961927201,4.0795905209862,512.413417061856,511.688634412045,161.861445725784,27.7190076060083,1.64879241265711,0.045578779420942,0.338722120655717,1.79969970349027,1.80632540295931,0.309181761508552,0.00278598373003
5,555.346777777778,-15021.9238102641,3438.63199403744,5.49524861152764,512.474039687962,512.609359138381,37.469997620727,167.123412755142,3.15174998396567,0.038208903754153,0.261043027677638,1.16186262886484,0.26078345704275,1.16343807796868,0.002324929840037
6,555.346777777778,4245.52261423187,5.31329028929809,155.685207537758,512.494700569385,512.868560384339,158.008582309392,12.1700141263454,1.53487089342555,0.063824165818351,0.005501921788682,0.06473324223844,0.064807689829175,0.00498908415832,4.49221629956415E-05
7,555.346777777778,-1801.60283370474,2.63997948382192,269.707249497441,512.49699913323,512.500668962354,102.017596480785,39.0741836656061,1.65529030885612,0.052351983787542,0.007740169894298,0.019741096186198,0.01980137119552,0.007584642919999,0.000123224845671
8,555.346777777778,-404.446127733358,0.092035667830094,246.016423268772,512.494955670119,512.498568278591,168.012462495001,65.9969356843804,1.93156105843204,0.028151134287784,0.009795667830636,0.018182934265676,0.019234490040168,0.007550630605883,7.51554552200703E-05
11,555.346777777778,-1784.30938620617,21.0561686984795,11.9299823022331,512.497246970887,512.361725662421,181.499306651418,39.7952516400309,1.65610527230896,0.036701455113228,0.130833324375771,0.556248114076483,0.560442108159164,0.122325973269114,0.001001831380554
