name,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift (mhz/ms),drift error (mhz/ms),angle,center_f,red_chisq,time_res,freq_res
CHIME1,40.961461749513376,40.47175037279154,1018.6661271135132,177.50311466487597,2.260147137633285,1.5753147659641975,0.19843758078490073,0.011617860265593631,0.8598552354079064,0.859864017676534,0.010949019459671366,8.725105711584424e-05,-87.94222504165137,1.6981874161286215,1.5753147659641975,467.28289609782934,0.15033939833594806,0.00098304,0.390625
CHIME2,33.406168601191276,68.44513690025708,991.8553612480748,360.2481012112325,1.5781933344387689,1.5736851755639398,0.02813563048789228,0.001591238346420633,0.30332454118744273,0.3045643223418386,0.0013282087150574382,5.217056482439157e-06,-137.55070786877405,0.2484082283478766,1.5736851755639398,672.3414168189315,5.519888626923226,0.00098304,0.390625
B1,434.7120412787521,188.49842348942155,256.51057853120994,111.76507029312774,12.421398697438933,1.5736363324004579,0.03387544417657066,0.0009614828516466274,0.008709171765370758,0.00901489515154068,0.0009611685486317871,1.2400700175838929e-05,-5501.734912382488,24.023097636486334,1.5736363324004579,1325.8018219860248,63.29913714625211,3.2e-05,0.5
B2,30.545195313956995,188.48111366376992,256.3946606984343,110.54998255662213,7.812937452537675,-1.5658738353580224,0.041060508323442074,0.010460576373940227,0.14858417218054992,0.15336981329073954,0.010435133227823098,0.0001350075968794797,-3174.179985369237,87.05862469214439,-1.5658738353580224,1317.1714754057648,8.887155093789454,3.2e-05,0.5
S1,39448.81867018647,200.42182293650617,255.52249239245813,3.386634712651642,-110.5601742892132,3.165718786446872,136.71542829657346,0.014879280560321994,0.3830630732933928,0.01166238199254508,0.39549740498914404,0.00015023940208328194,-463.1369020736946,2.8851876032814907,1.5949224596519755,1362.5452066979224,8.791771862295688,6.5536e-05,0.732421875
